,Usage
1805,2.2
1806,28.8
1807,2.2
1808,5.5
1809,1.8
1810,2.2
1811,3.3
1812,186.9
1813,182.0
1814,260.2
1815,132.7
1816,439.0
1817,43.0
1818,27.0
1819,46.8
1820,6.0
1821,88.5
1822,376.2
1823,215.2
1824,489.6
1825,12.3
1826,16.3
1827,194.2
1828,167.0
1829,184.8
1830,77.6
1831,313.7
1832,8.2
1833,88.8
1834,25.1
1835,85.8
1836,153.4
1837,0.9
1838,2.0
1839,29.8
1840,2.3
1841,5.9
1842,1.7
1843,2.5
1844,4.4
1845,107.5
1846,123.5
1847,238.4
1848,69.0
1849,281.2
1850,38.9
1851,28.4
1852,51.2
1853,4.6
1854,82.3
1855,332.4
1856,255.7
1857,454.7
1858,9.8
1859,17.2
1860,182.9
1861,215.0
1862,228.3
1863,72.1
1864,296.7
1865,7.0
1866,79.9
1867,26.3
1868,70.1
1869,113.9
1870,2.1
1871,2.2
1872,22.7
1873,2.9
1874,6.7
1875,1.5
1876,2.3
1877,3.4
1878,102.9
1879,116.3
1880,240.6
1881,72.1
1882,270.4
1883,38.7
1884,28.6
1885,52.2
1886,4.4
1887,80.8
1888,338.0
1889,258.5
1890,467.0
1891,10.2
1892,18.9
1893,187.8
1894,218.5
1895,233.3
1896,74.2
1897,307.0
1898,7.4
1899,80.6
1900,26.3
1901,71.0
1902,119.5
1903,2.2
1904,2.2
1905,23.4
1906,2.9
1907,6.6
1908,1.7
1909,2.4
1910,3.6
1911,104.2
1912,123.1
1913,240.9
1914,71.8
1915,271.8
1916,38.5
1917,29.2
1918,48.4
1919,4.3
1920,80.8
1921,330.5
1922,259.6
1923,461.9
1924,10.2
1925,18.8
1926,191.0
1927,219.7
1928,235.8
1929,75.0
1930,302.4
1931,7.9
1932,76.8
1933,24.2
1934,71.5
1935,114.1
1936,2.2
1937,2.1
1938,23.2
1939,2.6
1940,6.6
1941,1.7
1942,2.2
1943,4.2
1944,106.9
1945,124.0
1946,240.9
1947,71.1
1948,271.2
1949,39.3
1950,30.8
1951,49.9
1952,4.1
1953,83.2
1954,327.8
1955,258.0
1956,454.7
1957,10.0
1958,18.7
1959,191.8
1960,219.4
1961,239.4
1962,74.1
1963,308.0
1964,7.4
